LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-10-08 04:14:32,1900-01-00 00:00:00,,84:06:FA:DD:52:10,-51, ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:33,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:33,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:33,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-50, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:34,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:34,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:34,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:34,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:34,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:34,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:35,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:35,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:35,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:35,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:36,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-50, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:36,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:36,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:36,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:36,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:36,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:36,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:37,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:37,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:38,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:38,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:38,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:38,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:39,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-49, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:39,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-49, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:39,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-49, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:39,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:39,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:39,1900-01-00 00:00:00,,D0:B4:5D:B5:17:F0,-71,,0.000000,0.000000,0.000,0.000,Client
2023-10-08 04:14:40,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:40,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:40,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:41,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:41,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-52, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:41,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:41,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:42,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:42,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:42,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-49, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:42,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-49, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:42,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-49, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:42,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-49, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:44,1900-01-00 00:00:00,,EA:B9:DC:60:51:D2,-62,,0.000000,0.000000,0.000,0.000,Client
2023-10-08 04:14:44,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:44,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:44,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:45,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:45,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:45,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:45,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:45,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:45,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:46,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 04:14:46,1900-01-00 00:00:00,PLDTHOMEFIBRd5210,84:06:FA:DD:52:10,-51, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
